Problem;Solution
Simplify the expression (x^2 - 2x - 8)/(x^2 - 9);(x - 4)/(x - 3)(x + 3)
Evaluate the limit lim(x→1) ((x^2 + 2x - 3)/(x - 1));4
Find the length of the hypotenuse of a right triangle with legs 3 and 4 units;5
Simplify the expression (3x^3 - 6x^2 + 3x)/(x^2 - x);3x/(x - 1)
Find the value of a in the quadratic equation ax^2 - 4x + 1 = 0;a = (4 + √6)/2 or (4 - √6)/2
Solve the inequality 2x + 1 > 5x - 3;x < 2
Find the value of cos(π/4);1/√2
Simplify the expression (4x^2 + 4x)/(2x + 6);2x/(x + 3)
Solve the system of equations: x + y + z = 6, x - y + z = 2, x + y - z = 0;x = 2, y = 2, z = 2
Find the derivative of f(x) = 3x^2 + 2x - 1;f'(x) = 6x + 2
Find the value of tan(π/4);1
Simplify the expression (x^3 + 3x^2 + 2x)/(x^2 + 2x);x + 2 + 2/(x + 2)
Find the equation of the line passing through the point (4, -3) and perpendicular to the line y = -2x + 5;y = (1/2)x - 5/2
Find the value of log(base 10)1000;3
Solve the equation e^(2x) - 7e^x + 10 = 0;x = ln(2) or ln(5)
What is the value of sec(π/6)?;2/√3
Simplify the expression (2x^2 - 3x - 5)/(x^2 + 2x + 1);2x - 5/(x + 1)^2
Find the slope of the line passing through the points (1, -2) and (-3, 4);-3/2
Solve the equation 4x - 3 = 5x - 6;x = 3
What is the value of tan(π/4)?;1
Simplify the expression (2x^2 + 8x)/(x^2 + 2x);2x/(x + 2)
Find the x-intercept of the line y = 3x - 6;-2
What is the value of 7! (7 factorial)?;5040
Find the equation of the line that is perpendicular to y = 3x - 2 and passes through the point (2, 1);y = (-1/3)x + (7/3)
Evaluate the expression 2cos(π/6) - 3sin(π/6);√3 - 3/2
Simplify the expression (x^3 - 1)/(x^2 + x - 2);(x - 1)/(x + 2)
Solve the equation log(base 3)(2x + 1) - log(base 3)(x + 4) = 1;x = 2/3
What is the value of sin(π/4)?;1/√2
Find the equation of the line that passes through the point (2, 3) and has a slope of -4;y = -4x + 11
Simplify the expression (3x^2 - 6x - 15)/(x^2 - 9);(3(x - 3))/(x - 3)(x + 3)
Evaluate the limit lim(x→2) ((2x^2 - 5x - 3)/(x^2 - 4x + 4));-1
Find the area of a triangle with base 8 units and height 6 units;24
Simplify the expression (x^3 + 3x^2 + 2x)/(x^2 - x - 12);(x(x + 3))/(x - 4)(x + 3)
Find the equation of the circle with center (-2, 3) and radius 5;(x + 2)^2 + (y - 3)^2 = 25
Simplify the expression (4x^2 - 12)/(2x - 6);2(x + 3)/(x - 3)
Find the equation of the line passing through the point (2, 3) and parallel to the line y = -2x + 1;y = -2x - 1
What is the value of 3! (3 factorial)?;6
Evaluate the expression sin(π/6)cos(π/6);1/4
Simplify the expression (x^2 - 7x + 10)/(x^2 - 5x + 6);(x - 2)/(x - 2)(x - 3)
Find the midpoint of the line segment connecting the points (2, 3) and (6, 9);(4, 6)
What is the value of cot(π/4)?;1
Simplify the expression (3x^3 + 3x^2 - 6x)/(2x^2 + x - 3);(3x(x + 1))/(2x - 3)(x + 1)
Find the equation of the line that passes through the point (4, -3) and has a slope of 2;y = 2x - 11
